"ARTIGO";"NIVEL_ESTRUTURA";"DESCR_ARTIGO"
2001;"2";"RISCA GIZ"
2002;"2";"CARDADA"
2003;"2";"COTTON LYCRA"
2004;"2";"COTTON"
2005;"2";"VISCOLYCRA"
2006;"2";"LYCRA"
2007;"2";"FORRO"
2008;"2";"VISCOSE"
2009;"2";"CHARMOUSE"
2010;"2";"MICROFIBRA"
2011;"2";"FIO TINTO"
2012;"2";"PLUNA"
